AdWords API,Google Ads API
AccountCurrencyCode,customer.currency_code
AccountDescriptiveName,customer.descriptive_name
AccountTimeZone,customer.time_zone
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
AverageCost,metrics.average_cost
AverageCpc,metrics.average_cpc
AverageCpe,metrics.average_cpe
AverageCpm,metrics.average_cpm
AverageCpv,metrics.average_cpv
AveragePosition,metrics.average_position
BidModifier,campaign_criterion.bid_modifier
CampaignId,campaign.id
CampaignName,campaign.name
CampaignStatus,campaign.status
Clicks,metrics.clicks
ConversionCategoryName,segments.conversion_action_category
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
CustomerDescriptiveName,customer.descriptive_name
Date,segments.date
EngagementRate,metrics.engagement_rate
Engagements,metrics.engagements
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
Id,campaign_criterion.criterion_id
Impressions,metrics.impressions
InteractionRate,metrics.interaction_rate
Interactions,metrics.interactions
InteractionTypes,metrics.interaction_event_types
Month,segments.month
MonthOfYear,segments.month_of_year
Quarter,segments.quarter
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
VideoQuartile100Rate,metrics.video_quartile_100_rate
VideoQuartile25Rate,metrics.video_quartile_25_rate
VideoQuartile50Rate,metrics.video_quartile_50_rate
VideoQuartile75Rate,metrics.video_quartile_75_rate
VideoViewRate,metrics.video_view_rate
VideoViews,metrics.video_views
ViewThroughConversions,metrics.view_through_conversions
Week,segments.week
Year,segments.year
