AdWords API,Google Ads API
AccountCurrencyCode,customer.currency_code
AccountDescriptiveName,customer.descriptive_name
AccountTimeZone,customer.time_zone
ActiveViewCpm,metrics.active_view_cpm
ActiveViewCtr,metrics.active_view_ctr
ActiveViewImpressions,metrics.active_view_impressions
ActiveViewMeasurability,metrics.active_view_measurability
ActiveViewMeasurableCost,metrics.active_view_measurable_cost_micros
ActiveViewMeasurableImpressions,metrics.active_view_measurable_impressions
ActiveViewViewability,metrics.active_view_viewability
AdNetworkType1,Network types 1 and 2 have been combined into segments.ad_network_type.
AdNetworkType2,segments.ad_network_type
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
AverageCost,metrics.average_cost
AverageCpc,metrics.average_cpc
AverageCpe,metrics.average_cpe
AverageCpm,metrics.average_cpm
AverageCpv,metrics.average_cpv
AveragePosition,metrics.average_position
CanManageClients,customer.manager
Clicks,metrics.clicks
ClickType,segments.click_type
ContentBudgetLostImpressionShare,metrics.content_budget_lost_impression_share
ContentImpressionShare,metrics.content_impression_share
ContentRankLostImpressionShare,metrics.content_rank_lost_impression_share
ConversionAdjustment,segments.conversion_adjustment
ConversionAdjustmentLagBucket,segments.conversion_or_adjustment_lag_bucket
ConversionCategoryName,segments.conversion_action_category
ConversionLagBucket,segments.conversion_lag_bucket
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
CustomerDescriptiveName,customer.descriptive_name
Date,segments.date
DayOfWeek,segments.day_of_week
Device,segments.device
EngagementRate,metrics.engagement_rate
Engagements,metrics.engagements
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
HourOfDay,segments.hour
Impressions,metrics.impressions
InteractionRate,metrics.interaction_rate
Interactions,metrics.interactions
InteractionTypes,metrics.interaction_event_types
InvalidClickRate,metrics.invalid_click_rate
InvalidClicks,metrics.invalid_clicks
IsAutoTaggingEnabled,customer.auto_tagging_enabled
IsTestAccount,customer.test_account
Month,segments.month
MonthOfYear,segments.month_of_year
Quarter,segments.quarter
SearchBudgetLostImpressionShare,metrics.search_budget_lost_impression_share
SearchExactMatchImpressionShare,metrics.search_exact_match_impression_share
SearchImpressionShare,metrics.search_impression_share
SearchRankLostImpressionShare,metrics.search_rank_lost_impression_share
Slot,segments.slot
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
VideoViewRate,metrics.video_view_rate
VideoViews,metrics.video_views
ViewThroughConversions,metrics.view_through_conversions
Week,segments.week
Year,segments.year
