AdWords API,Google Ads API
AbsoluteTopImpressionPercentage,metrics.absolute_top_impression_percentage
AccountCurrencyCode,customer.currency_code
AccountDescriptiveName,customer.descriptive_name
AccountTimeZone,customer.time_zone
ActiveViewCpm,metrics.active_view_cpm
ActiveViewCtr,metrics.active_view_ctr
ActiveViewImpressions,metrics.active_view_impressions
ActiveViewMeasurability,metrics.active_view_measurability
ActiveViewMeasurableCost,metrics.active_view_measurable_cost_micros
ActiveViewMeasurableImpressions,metrics.active_view_measurable_impressions
ActiveViewViewability,metrics.active_view_viewability
AdGroupDesktopBidModifier,Must select ad_group_bid_modifier resource.
AdGroupId,ad_group.id
AdGroupMobileBidModifier,See ad_group_bid_modifier resource.
AdGroupName,ad_group.name
AdGroupStatus,ad_group.status
AdGroupTabletBidModifier,See ad_group_bid_modifier resource.
AdGroupType,ad_group.type
AdNetworkType1,AdNetworkType1 and AdNetworkType2 have been combined into segments.ad_network_type.
AdNetworkType2,segments.ad_network_type
AdRotationMode,ad_group.ad_rotation_mode
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
AverageCost,metrics.average_cost
AverageCpc,metrics.average_cpc
AverageCpe,metrics.average_cpe
AverageCpm,metrics.average_cpm
AverageCpv,metrics.average_cpv
AveragePageviews,metrics.average_page_views
AveragePosition,metrics.average_position
AverageTimeOnSite,metrics.average_time_on_site
BaseAdGroupId,UPCOMING RELEASE
BaseCampaignId,UPCOMING RELEASE
BiddingStrategyId,campaign.bidding_strategy
BiddingStrategyName,bidding_strategy resource and its associated fields are only selectable with bidding_strategy and campaign.
BiddingStrategySource,DEPRECATED
BiddingStrategyType,campaign.bidding_strategy_type
BounceRate,metrics.bounce_rate
CampaignId,campaign.id
CampaignName,campaign.name
CampaignStatus,campaign.status
ClickAssistedConversions,DEPRECATED
ClickAssistedConversionsOverLastClickConversions,DEPRECATED
ClickAssistedConversionValue,DEPRECATED
Clicks,metrics.clicks
ClickType,segments.click_type
ContentBidCriterionTypeGroup,ad_group.display_custom_bid_dimension
ContentImpressionShare,metrics.content_impression_share
ContentRankLostImpressionShare,metrics.content_rank_lost_impression_share
ConversionAdjustment,segments.conversion_adjustment
ConversionAdjustmentLagBucket,segments.conversion_or_adjustment_lag_bucket
ConversionCategoryName,segments.conversion_action_category
ConversionLagBucket,segments.conversion_lag_bucket
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CostPerCurrentModelAttributedConversion,metrics.cost_per_current_model_attributed_conversion
CpcBid,ad_group.cpc_bid_micros
CpmBid,ad_group.cpm_bid_micros
CpvBid,ad_group.cpv_bid_micros
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
CurrentModelAttributedConversions,metrics.current_model_attributed_conversions
CurrentModelAttributedConversionValue,metrics.current_model_attributed_conversions_value
CustomerDescriptiveName,customer.descriptive_name
Date,segments.date
DayOfWeek,segments.day_of_week
Device,segments.device
EffectiveTargetRoas,ad_group.effective_target_roas
EffectiveTargetRoasSource,ad_group.effective_target_roas_source
EngagementRate,metrics.engagement_rate
Engagements,metrics.engagements
EnhancedCpcEnabled,Can be mapped to one of the two attributes: campaign.manual_cpc.enhanced_cpc_enabled or campaign.percent_cpc.enhanced_cpc_enabled.
ExternalConversionSource,segments.external_conversion_source
