AdWords API Report,Google Ads API Resource
ACCOUNT_PERFORMANCE_REPORT,customer
AD_PERFORMANCE_REPORT,ad_group_ad
ADGROUP_PERFORMANCE_REPORT,ad_group
AGE_RANGE_PERFORMANCE_REPORT,age_range_view
AUDIENCE_PERFORMANCE_REPORT,campaign_audience_view; ad_group_audience_view
AUTOMATIC_PLACEMENTS_PERFORMANCE_REPORT,group_placement_view
BID_GOAL_PERFORMANCE_REPORT,bidding_strategy
BUDGET_PERFORMANCE_REPORT,campaign_budget
CALL_METRICS_CALL_DETAILS_REPORT,UPCOMING RELEASE
CAMPAIGN_AD_SCHEDULE_TARGET_REPORT,ad_schedule_view
CAMPAIGN_CRITERIA_REPORT,campaign_criterion
CAMPAIGN_PERFORMANCE_REPORT,campaign
CAMPAIGN_SHARED_SET_REPORT,shared_set
CAMPAIGN_LOCATION_TARGET_REPORT,campaign
CLICK_PERFORMANCE_REPORT,click_view
CREATIVE_CONVERSION_REPORT,UPCOMING RELEASE
DISPLAY_KEYWORD_PERFORMANCE_REPORT,display_keyword_view
DISPLAY_TOPICS_PERFORMANCE_REPORT,topic_view
GENDER_PERFORMANCE_REPORT,gender_view
GEO_PERFORMANCE_REPORT,UPCOMING RELEASE
KEYWORDLESS_QUERY_REPORT,dynamic_search_ads_search_term_view
KEYWORDS_PERFORMANCE_REPORT,keyword_view
LABEL_REPORT,label
LANDING_PAGE_REPORT,landing_page_view; UPCOMING RELEASE(expanded_landing_page_view)
PAID_ORGANIC_QUERY_REPORT,paid_organic_search_term_view
PARENTAL_STATUS_PERFORMANCE_REPORT,parental_status_view
PLACEHOLDER_FEED_ITEM_REPORT,feed_item; feed_item_target
PLACEHOLDER_REPORT,feed_placeholder_view
PLACEMENT_PERFORMANCE_REPORT,managed_placement_view
PRODUCT_PARTITION_REPORT,product_group_view
SEARCH_QUERY_PERFORMANCE_REPORT,search_term_view
SHARED_SET_CRITERIA_REPORT,shared_criterion
SHARED_SET_REPORT,shared_set
SHOPPING_PERFORMANCE_REPORT,shopping_performance_view
URL_PERFORMANCE_REPORT,detail_placement_view
USER_AD_DISTANCE_REPORT,UPCOMING RELEASE
VIDEO_PERFORMANCE_REPORT,video
