AdWords API,Google Ads API
ClickType,segments.click_type
ConversionCategoryName,segments.conversion_action_category
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CpcBid,ad_group_criterion.effective_cpc_bid_micros
CpcBidSource,ad_group_criterion.effective_cpc_bid_source
CpmBid,ad_group_criterion.effective_cpm_bid_micros
CpmBidSource,ad_group_criterion.effective_cpm_bid_source
Criteria,ad_group_criterion.age_range.type
CriteriaDestinationUrl,DEPRECATED
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
CustomerDescriptiveName,customer.descriptive_name
Date,segments.date
DayOfWeek,segments.day_of_week
Device,segments.device
EngagementRate,metrics.engagement_rate
Engagements,metrics.engagements
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
FinalAppUrls,DEPRECATED
FinalMobileUrls,ad_group_criterion.final_mobile_urls
FinalUrls,ad_group_criterion.final_urls
GmailForwards,metrics.gmail_forwards
GmailSaves,metrics.gmail_saves
GmailSecondaryClicks,metrics.gmail_secondary_clicks
Id,ad_group_criterion.criterion_id
Impressions,metrics.impressions
InteractionRate,metrics.interaction_rate
Interactions,metrics.interactions
InteractionTypes,metrics.interaction_event_types
IsNegative,ad_group_criterion.negative
IsRestrict,ad_group.targeting_setting.target_restrictions
Month,segments.month
MonthOfYear,segments.month_of_year
Quarter,segments.quarter
Status,ad_group_criterion.status
TrackingUrlTemplate,ad_group_criterion.tracking_url_template
UrlCustomParameters,ad_group_criterion.url_custom_parameters
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
VideoQuartile100Rate,metrics.video_quartile_100_rate
VideoQuartile25Rate,metrics.video_quartile_25_rate
VideoQuartile50Rate,metrics.video_quartile_50_rate
VideoQuartile75Rate,metrics.video_quartile_75_rate
VideoViewRate,metrics.video_view_rate
VideoViews,metrics.video_views
ViewThroughConversions,metrics.view_through_conversions
Week,segments.week
Year,segments.year
