AdWords API,Google Ads API
AccountDescriptiveName,customer.descriptive_name
AdGroupId,ad_group.id
AdGroupName,ad_group.name
AdGroupStatus,ad_group.status
AdNetworkType1,Network types 1 and 2 have been combined into segments.ad_network_type.
AdNetworkType2,segments.ad_network_type
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
AverageCost,metrics.average_cost
AverageCpc,metrics.average_cpc
AverageCpe,metrics.average_cpe
AverageCpm,metrics.average_cpm
AverageCpv,metrics.average_cpv
AveragePosition,metrics.average_position
CampaignId,campaign
CampaignName,campaign.name
CampaignStatus,campaign.status
Clicks,metrics.clicks
ClickType,segments.click_type
ConversionCategoryName,segments.conversion_action_category
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
Date,segments.date
DayOfWeek,segments.day_of_week
Device,segments.device
EngagementRate,metrics.engagement_rate
Engagements,metrics.engagements
ExtensionPlaceholderCreativeId,UPCOMING RELEASE
ExtensionPlaceholderType,feed_placeholder_view.placeholder_type
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
Impressions,metrics.impressions
InteractionRate,metrics.interaction_rate
Interactions,metrics.interactions
InteractionTypes,metrics.interaction_event_types
Month,segments.month
MonthOfYear,segments.month_of_year
Quarter,segments.quarter
Slot,segments.slot
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
VideoViewRate,metrics.video_view_rate
VideoViews,metrics.video_views
ViewThroughConversions,metrics.view_through_conversions
Week,segments.week
Year,segments.year
