AdWords API,Google Ads API
AccountDescriptiveName,customer.descriptive_name
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
Amount,campaign_budget.amount_micros
AssociatedCampaignId,campaign.id
AssociatedCampaignName,campaign.name
AssociatedCampaignStatus,campaign.status
AverageCost,metrics.average_cost
AverageCpc,metrics.average_cpc
AverageCpe,metrics.average_cpe
AverageCpm,metrics.average_cpm
AverageCpv,metrics.average_cpv
AveragePosition,metrics.average_position
BudgetCampaignAssociationStatus,UPCOMING RELEASE
BudgetId,campaign_budget.id
BudgetName,campaign_budget.name
BudgetReferenceCount,campaign_budget.reference_count
BudgetStatus,campaign_budget.status
Clicks,metrics.clicks
ConversionCategoryName,segments.conversion_action_category
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
DeliveryMethod,campaign_budget.delivery_method
EngagementRate,metrics.engagement_rate
Engagements,metrics.engagements
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
HasRecommendedBudget,campaign_budget.has_recommended_budget
Impressions,metrics.impressions
InteractionRate,metrics.interaction_rate
Interactions,metrics.interactions
InteractionTypes,metrics.interaction_event_types
IsBudgetExplicitlyShared,campaign_budget.explicitly_shared
Period,campaign_budget.period
RecommendedBudgetAmount,campaign_budget.recommended_budget_amount_micros
RecommendedBudgetEstimatedChangeInWeeklyClicks,campaign_budget.recommended_budget_estimated_change_weekly_clicks
RecommendedBudgetEstimatedChangeInWeeklyCost,campaign_budget.recommended_budget_estimated_change_weekly_cost_micros
RecommendedBudgetEstimatedChangeInWeeklyInteractions,campaign_budget.recommended_budget_estimated_change_weekly_interactions
RecommendedBudgetEstimatedChangeInWeeklyViews,campaign_budget.recommended_budget_estimated_change_weekly_views
TotalAmount,campaign_budget.total_amount_micros
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
VideoViewRate,metrics.video_view_rate
VideoViews,metrics.video_views
ViewThroughConversions,metrics.view_through_conversions
