AdWords API,Google Ads API
AccountCurrencyCode,customer.currency_code
AccountDescriptiveName,customer.descriptive_name
AccountTimeZone,customer.time_zone
AdGroupId,ad_group.id
AdGroupName,ad_group.name
AdGroupStatus,ad_group.status
AdNetworkType1,DEPRECATED
AdNetworkType2,segments.ad_network_type
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
AverageCpm,metrics.average_cpm
AverageCpv,metrics.average_cpv
CampaignId,campaign.id
CampaignName,campaign.name
CampaignStatus,campaign.status
Clicks,metrics.clicks
ClickType,segments.click_type
ConversionCategoryName,segments.conversion_action_category
ConversionRate,metrics.all_conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CreativeId,ad_group_ad.ad.id
CreativeStatus,ad_group_ad.status
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
CustomerDescriptiveName,customer.descriptive_name
Date,segments.date
DayOfWeek,segments.day_of_week
Device,segments.device
EngagementRate,metrics.engagement_rate
Engagements,metrics.engagements
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
Impressions,metrics.impressions
Month,segments.month
MonthOfYear,segments.month_of_year
Quarter,segments.quarter
ValuePerAllConversion,metrics.value_per_all_conversions
VideoChannelId,video.channel_id
VideoDuration,video.duration_millis
VideoId,video.id
VideoQuartile100Rate,metrics.video_quartile_100_rate
VideoQuartile25Rate,metrics.video_quartile_25_rate
VideoQuartile50Rate,metrics.video_quartile_50_rate
VideoQuartile75Rate,metrics.video_quartile_75_rate
VideoTitle,video.title
VideoViewRate,metrics.video_view_rate
VideoViews,metrics.video_views
ViewThroughConversions,metrics.view_through_conversions
Week,segments.week
Year,segments.year
