AdWords API,Google Ads API
AbsoluteTopImpressionPercentage,metrics.absolute_top_impression_percentage
AccountCurrencyCode,customer.currency_code
AccountDescriptiveName,customer.descriptive_name
AccountTimeZone,customer.time_zone
ActiveViewCpm,metrics.active_view_cpm
ActiveViewCtr,metrics.active_view_ctr
ActiveViewImpressions,metrics.active_view_impressions
ActiveViewMeasurability,metrics.active_view_measurability
ActiveViewMeasurableCost,metrics.active_view_measurable_cost_micros
ActiveViewMeasurableImpressions,metrics.active_view_measurable_impressions
ActiveViewViewability,metrics.active_view_viewability
AdNetworkType1,DEPRECATED
AdNetworkType2,segments.ad_network_type
AdvertisingChannelSubType,campaign.advertising_channel_sub_type
AdvertisingChannelType,campaign.advertising_channel_type
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
Amount,campaign_budget.amount_micros
AverageCost,metrics.average_cost
AverageCpc,metrics.average_cpc
AverageCpe,metrics.average_cpe
AverageCpm,metrics.average_cpm
AverageCpv,metrics.average_cpv
AverageFrequency,metrics.average_frequency
AveragePageviews,metrics.average_page_views
AveragePosition,metrics.average_position
AverageTimeOnSite,metrics.average_time_on_site
BaseCampaignId,UPCOMING RELEASE
BiddingStrategyId,campaign.bidding_strategy
BiddingStrategyName,bidding_strategy.name
BiddingStrategyType,campaign.bidding_strategy_type
BounceRate,metrics.bounce_rate
BudgetId,campaign.campaign_budget
CampaignDesktopBidModifier,Not available with 'FROM campaign'. You can retrieve device type bid modifiers via 'FROM campaign_criterion' queries.
CampaignGroupId,DEPRECATED
CampaignId,campaign.id
CampaignMobileBidModifier,Not available with 'FROM campaign'. You can retrieve device type bid modifiers via 'FROM campaign_criterion' queries.
CampaignName,campaign.name
CampaignStatus,campaign.status
CampaignTabletBidModifier,Not available with 'FROM campaign'. You can retrieve device type bid modifiers via 'FROM campaign_criterion' queries.
CampaignTrialType,UPCOMING RELEASE
ClickAssistedConversions,DEPRECATED
ClickAssistedConversionsOverLastClickConversions,DEPRECATED
ClickAssistedConversionValue,DEPRECATED
Clicks,metrics.clicks
ClickType,segments.click_type
ContentBudgetLostImpressionShare,metrics.content_budget_lost_impression_share
ContentImpressionShare,metrics.content_impression_share
ContentRankLostImpressionShare,metrics.content_rank_lost_impression_share
ConversionAdjustment,segments.conversion_adjustment
ConversionAdjustmentLagBucket,segments.conversion_or_adjustment_lag_bucket
ConversionAttributionEventType,segments.conversion_attribution_event_type
ConversionCategoryName,segments.conversion_action_category
ConversionLagBucket,segments.conversion_lag_bucket
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CostPerCurrentModelAttributedConversion,metrics.cost_per_current_model_attributed_conversion
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
CurrentModelAttributedConversions,metrics.current_model_attributed_conversions
CurrentModelAttributedConversionValue,metrics.current_model_attributed_conversions_value
CustomerDescriptiveName,customer.descriptive_name
Date,segments.date
DayOfWeek,segments.day_of_week
Device,segments.device
EndDate,campaign.end_date
EngagementRate,metrics.engagement_rate
Engagements,metrics.engagements
EnhancedCpcEnabled,Can be mapped to one of the two attributes: campaign.manual_cpc.enhanced_cpc_enabled or campaign.percent_cpc.enhanced_cpc_enabled.
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
