AdWords API,Google Ads API
AbsoluteTopImpressionPercentage,metrics.absolute_top_impression_percentage
AccentColor,ad_group_ad.ad.legacy_responsive_display_ad.accent_color
AccountCurrencyCode,customer.currency_code
AccountDescriptiveName,customer.descriptive_name
AccountTimeZone,customer.time_zone
ActiveViewCpm,metrics.active_view_cpm
ActiveViewCtr,metrics.active_view_ctr
ActiveViewImpressions,metrics.active_view_impressions
ActiveViewMeasurability,metrics.active_view_measurability
ActiveViewMeasurableCost,metrics.active_view_measurable_cost_micros
ActiveViewMeasurableImpressions,metrics.active_view_measurable_impressions
ActiveViewViewability,metrics.active_view_viewability
AdGroupId,ad_group_ad.ad_group
AdGroupName,ad_group.name
AdGroupStatus,ad_group.status
AdNetworkType1,DEPRECATED
AdNetworkType2,segments.ad_network_type
AdStrengthInfo,ad_group_ad.ad_strength
AdType,ad_group_ad.ad.type
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
AllowFlexibleColor,ad_group_ad.ad.legacy_responsive_display_ad.allow_flexible_color
Automated,ad_group_ad.ad.added_by_google_ads
AverageCost,metrics.average_cost
AverageCpc,metrics.average_cpc
AverageCpe,metrics.average_cpe
AverageCpm,metrics.average_cpm
AverageCpv,metrics.average_cpv
AveragePageviews,metrics.average_page_views
AveragePosition,metrics.average_position
AverageTimeOnSite,metrics.average_time_on_site
BaseAdGroupId,UPCOMING RELEASE
BaseCampaignId,UPCOMING RELEASE
BounceRate,metrics.bounce_rate
BusinessName,ad_group_ad.ad.legacy_responsive_display_ad.business_name
CallOnlyPhoneNumber,ad_group_ad.ad.call_only_ad.phone_number
CallToActionText,ad_group_ad.ad.legacy_responsive_display_ad.call_to_action_text
CampaignId,campaign.id
CampaignName,campaign.name
CampaignStatus,campaign.status
ClickAssistedConversions,DEPRECATED
ClickAssistedConversionsOverLastClickConversions,DEPRECATED
ClickAssistedConversionValue,DEPRECATED
Clicks,metrics.clicks
ClickType,segments.click_type
CombinedApprovalStatus,ad_group_ad.policy_summary
ConversionAdjustment,segments.conversion_adjustment
ConversionAdjustmentLagBucket,segments.conversion_or_adjustment_lag_bucket
ConversionCategoryName,segments.conversion_action_category
ConversionLagBucket,segments.conversion_lag_bucket
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
CostPerCurrentModelAttributedConversion,metrics.cost_per_current_model_attributed_conversion
CreativeDestinationUrl,DEPRECATED
CreativeFinalAppUrls,DEPRECATED
CreativeFinalMobileUrls,ad_group_ad.ad.final_mobile_urls
CreativeFinalUrls,ad_group_ad.ad.final_urls
CreativeTrackingUrlTemplate,ad_group_ad.ad.tracking_url_template
CreativeTrackingUrlTemplate,ad_group_ad.ad.tracking_url_template
CreativeUrlCustomParameters,ad_group_ad.ad.url_custom_parameters
CriterionId,segments.keyword.ad_group_criterion
CriterionType,DEPRECATED
CrossDeviceConversions,metrics.cross_device_conversions
Ctr,metrics.ctr
CurrentModelAttributedConversions,metrics.current_model_attributed_conversions
CurrentModelAttributedConversionValue,metrics.current_model_attributed_conversions_value
CustomerDescriptiveName,customer.descriptive_name
Date,segments.date
DayOfWeek,segments.day_of_week
Description,ad_group_ad.ad.legacy_responsive_display_ad.description || ad_group_ad.ad.expanded_text_ad.description
Description1,ad_group_ad.ad.text_ad.description1 || ad_group_ad.ad.call_only_ad.description1
Description2,ad_group_ad.ad.text_ad.description2 || ad_group_ad.ad.call_only_ad.description2
Device,segments.device
DevicePreference,ad_group_ad.ad.device_preference
DisplayUrl,ad_group_ad.ad.display_url
EngagementRate,metrics.engagement_rate
Engagements,metrics.engagements
EnhancedDisplayCreativeLandscapeLogoImageMediaId,ad_group_ad.ad.legacy_responsive_display_ad.logo_image
EnhancedDisplayCreativeLogoImageMediaId,ad_group_ad.ad.legacy_responsive_display_ad.square_logo_image
EnhancedDisplayCreativeMarketingImageMediaId,ad_group_ad.ad.legacy_responsive_display_ad.marketing_image
EnhancedDisplayCreativeMarketingImageSquareMediaId,ad_group_ad.ad.legacy_responsive_display_ad.square_marketing_image
ExpandedDynamicSearchCreativeDescription2,ad_group_ad.ad.expanded_dynamic_search_ad.description
ExpandedTextAdDescription2,ad_group_ad.ad.expanded_text_ad.description2
ExpandedTextAdHeadlinePart3,ad_group_ad.ad.expanded_text_ad.headline_part3
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
FormatSetting,ad_group_ad.ad.legacy_responsive_display_ad.format_setting
GmailCreativeHeaderImageMediaId,ad_group_ad.ad.gmail_ad.header_image
GmailCreativeLogoImageMediaId,ad_group_ad.ad.gmail_ad.teaser.logo_image
GmailCreativeMarketingImageMediaId,ad_group_ad.ad.gmail_ad.marketing_image
GmailForwards,metrics.gmail_forwards
GmailSaves,metrics.gmail_saves
GmailSecondaryClicks,metrics.gmail_secondary_clicks
GmailTeaserBusinessName,ad_group_ad.ad.gmail_ad.teaser.business_name
GmailTeaserDescription,ad_group_ad.ad.gmail_ad.teaser.description
GmailTeaserHeadline,ad_group_ad.ad.gmail_ad.teaser.headline
Headline,ad_group_ad.ad.text_ad.headline
HeadlinePart1,ad_group_ad.ad.expanded_text_ad.headline_part1
HeadlinePart2,ad_group_ad.ad.expanded_text_ad.headline_part2
Id,ad_group_ad.ad.id
ImageAdUrl,ad_group_ad.ad.image_ad.image_url
ImageCreativeImageHeight,ad_group_ad.ad.image_ad.pixel_height
ImageCreativeImageWidth,ad_group_ad.ad.image_ad.pixel_width
ImageCreativeMimeType,ad_group_ad.ad.image_ad.mime_type
ImageCreativeName,ad_group_ad.ad.image_ad.name
ImpressionAssistedConversions,DEPRECATED
ImpressionAssistedConversionsOverLastClickConversions,DEPRECATED
ImpressionAssistedConversionValue,DEPRECATED
Impressions,metrics.impressions
InteractionRate,metrics.interaction_rate
Interactions,metrics.interactions
InteractionTypes,metrics.interaction_event_types
IsNegative,ad_group_criterion.negative
LabelIds,label.resource_name
Labels,label.name
