AdWords API,Google Ads API
AccountCurrencyCode,customer.currency_code
AccountDescriptiveName,customer.descriptive_name
AccountTimeZone,customer.time_zone
AdGroupId,ad_group.id
AdGroupName,ad_group.name
AdGroupStatus,ad_group.status
AdId,UPCOMING RELEASE
AdNetworkType1,DEPRECATED
AdNetworkType2,segments.ad_network_type
AllConversionRate,metrics.all_conversions_from_interactions_rate
AllConversions,metrics.all_conversions
AllConversionValue,metrics.all_conversions_value
AttributeValues,feed_item.attribute_values
AverageCost,metrics.average_cost
AverageCpc,metrics.average_cpc
AverageCpe,metrics.average_cpe
AverageCpm,metrics.average_cpm
AverageCpv,metrics.average_cpv
AveragePosition,metrics.average_position
CampaignId,campaign.id
CampaignName,campaign.name
CampaignStatus,campaign.status
Clicks,metrics.clicks
ClickType,segments.click_type
ConversionCategoryName,segments.conversion_action_category
ConversionRate,metrics.conversions_from_interactions_rate
Conversions,metrics.conversions
ConversionTrackerId,segments.conversion_action
ConversionTypeName,segments.conversion_action_name
ConversionValue,metrics.conversions_value
Cost,metrics.cost_micros
CostPerAllConversion,metrics.cost_per_all_conversions
CostPerConversion,metrics.cost_per_conversion
Criteria,DEPRECATED
CrossDeviceConversions,UPCOMING RELEASE
Ctr,metrics.ctr
CustomerDescriptiveName,customer.descriptive_name
Date,segments.date
DayOfWeek,DEPRECATED
Device,segments.device
DevicePreference,feed_item_target.device
DisapprovalShortNames,See feed_item.policy_infos for policy information.
EndTime,feed_item.end_date_time
EngagementRate,metrics.engagement_rate
Engagements,metrics.engagements
ExternalConversionSource,segments.external_conversion_source
ExternalCustomerId,customer.id
FeedId,feed_item.feed
FeedItemId,feed_item.id
GeoTargetingCriterionId,feed_item_target.feed_item_target_id
GeoTargetingRestriction,feed_item.geo_targeting_restriction
Impressions,metrics.impressions
InteractionRate,metrics.interaction_rate
Interactions,metrics.interactions
InteractionTypes,metrics.interaction_event_types
IsSelfAction,segments.interaction_on_this_extension
KeywordMatchType,feed_item_target.keyword.match_type
KeywordTargetingId,feed_item_target.feed_item_target_id
KeywordTargetingMatchType,feed_item_target.keyword.match_type
KeywordTargetingText,feed_item_target.keyword.text
Month,segments.month
MonthOfYear,UPCOMING RELEASE
PlaceholderType,segments.placeholder_type
Quarter,segments.quarter
Scheduling,feed_item_target.ad_schedule
Slot,segments.slot
StartTime,feed_item.start_date_time
Status,feed_item.status
TargetingAdGroupId,feed_item_target.ad_group
TargetingCampaignId,feed_item_target.campaign
UrlCustomParameters,feed_item.url_custom_parameters
ValidationDetails,See feed_item.policy_infos for policy information.
ValuePerAllConversion,metrics.value_per_all_conversions
ValuePerConversion,metrics.value_per_conversion
VideoViewRate,metrics.video_view_rate
VideoViews,metrics.video_views
Week,segments.week
Year,segments.year
